FarmID,Sampling,Test,GreaterLess,Concentration,Micro Notes
R13,E,LPC,,75,
R14,E,LPC,,10,
R15,E,LPC,,195,
R16,E,LPC,<,1.25,
R17,E,LPC,,5,
R18,E,LPC,,70,
R19,E,LPC,,225,
R20,E,LPC,,355,
R21,E,LPC,,30,
R22,E,LPC,,210,
R23,E,LPC,,30,
R24,E,LPC,,65,
R25,E,LPC,,25,
R1,E,MSC,,10,
R2,E,MSC,,5,
R3,E,MSC,,60,
R4,E,MSC,,10,
R5,E,MSC,,45,
R6,E,MSC,,45,
R7,E,MSC,,35,
R8,E,MSC,,160,
R9,E,MSC,,55,
R10,E,MSC,,10,
R11,E,MSC,,565,
R12,E,MSC,,20,
R13,E,MSC,,250,
R14,E,MSC,,20,
R15,E,MSC,,195,
R16,E,MSC,,10,
R17,E,MSC,,55,
R18,E,MSC,,15,
